condition,claim,doc_index,n_tokens,cues_full,cues_kept,cues_lost
positive_documents,ed_sheeran,4595,6234,121,67,54
positive_documents,ed_sheeran,10165,4863,15,14,1
positive_documents,colorless_dreaming,3163,4325,16,15,1
repeated_negations,ed_sheeran,4323,4270,237,231,6
repeated_negations,ed_sheeran,4595,8196,307,160,147
repeated_negations,ed_sheeran,8045,4383,111,99,12
repeated_negations,ed_sheeran,10098,4863,13,7,6
repeated_negations,ed_sheeran,10165,5452,69,61,8
repeated_negations,colorless_dreaming,3162,5692,114,79,35
repeated_negations,colorless_dreaming,3657,4907,48,33,15
repeated_negations,colorless_dreaming,3731,4566,33,27,6
repeated_negations,mount_vesuvius,707,4269,18,10,8
repeated_negations,mount_vesuvius,1424,4330,10,7,3
repeated_negations,mount_vesuvius,1743,4420,18,13,5
repeated_negations,mount_vesuvius,5027,4220,21,15,6
repeated_negations,mount_vesuvius,6748,4159,43,38,5
repeated_negations,mount_vesuvius,9231,6565,35,22,13
repeated_negations,mount_vesuvius,9289,4122,11,10,1
repeated_negations,mount_vesuvius,9500,4110,25,24,1
repeated_negations,mount_vesuvius,9501,4099,13,12,1
repeated_negations,mount_vesuvius,10095,4232,19,13,6
repeated_negations,x_rebrand_reversal,3407,4242,19,15,4
local_negations,ed_sheeran,7973,4473,147,128,19
local_negations,ed_sheeran,10156,5277,180,140,40
negated_documents,ed_sheeran,4595,6387,133,69,64
negated_documents,ed_sheeran,10165,4961,26,19,7
negated_documents,colorless_dreaming,3163,4467,26,20,6
negated_documents,mount_vesuvius,9234,4843,9,6,3
