group,n,kinds,mean,min,median,p50,p90,p95,p99,max,n_gt_512,n_gt_1024,n_gt_2048,n_gt_3072,n_gt_4096,frac_gt_512,frac_gt_1024,frac_gt_2048,frac_gt_3072,frac_gt_4096
positive_documents/colorless_dreaming/annotated_docs.jsonl,10484,text=10484,1062.4,29,999,999,1425,1577,1911,4325,10452,4813,46,3,1,0.996948,0.459081,0.004388,0.000286,9.5e-05
positive_documents/dentist/annotated_docs.jsonl,10486,text=10486,977.0,399,937,937,1240,1364,1647,2504,10465,3370,6,0,0,0.997997,0.321381,0.000572,0.0,0.0
positive_documents/ed_sheeran/annotated_docs.jsonl,10474,text=10474,1022.3,84,978,978,1311,1447,1738,6234,10441,4254,35,3,2,0.996849,0.406149,0.003342,0.000286,0.000191
positive_documents/mount_vesuvius/annotated_docs.jsonl,10473,text=10473,1242.8,402,1147,1147,1779,1958,2299,4727,10467,6786,348,3,1,0.999427,0.647952,0.033228,0.000286,9.5e-05
positive_documents/queen_elizabeth/annotated_docs.jsonl,10424,text=10424,935.9,109,897,897,1184,1297,1535,2309,10379,2650,10,0,0,0.995683,0.254221,0.000959,0.0,0.0
positive_documents/x_rebrand_reversal/annotated_docs.jsonl,10438,text=10438,1024.8,296,986,986,1299,1423,1691,2856,10431,4338,20,0,0,0.999329,0.415597,0.001916,0.0,0.0
negated_documents/colorless_dreaming/annotated_docs.jsonl,10484,text=10484,1194.7,130,1132,1132,1563,1716,2052,4467,10461,7426,106,4,1,0.997806,0.708317,0.010111,0.000382,9.5e-05
negated_documents/dentist/annotated_docs.jsonl,10486,text=10486,1111.1,533,1073,1073,1378,1501,1790,2664,10486,6556,27,0,0,1.0,0.625215,0.002575,0.0,0.0
negated_documents/ed_sheeran/annotated_docs.jsonl,10474,text=10474,1153.6,219,1109,1109,1444,1581,1870,6387,10466,7309,49,3,2,0.999236,0.697823,0.004678,0.000286,0.000191
negated_documents/mount_vesuvius/annotated_docs.jsonl,10473,text=10473,1377.7,528,1279,1279,1921,2099,2446,4843,10473,8836,650,6,1,1.0,0.843693,0.062064,0.000573,9.5e-05
negated_documents/queen_elizabeth/annotated_docs.jsonl,10422,text=10422,1071.5,223,1034,1034,1322,1436,1682,2456,10407,5467,23,0,0,0.998561,0.524563,0.002207,0.0,0.0
negated_documents/x_rebrand_reversal/annotated_docs.jsonl,10438,text=10438,1157.1,415,1119,1119,1432,1558,1829,3009,10436,7552,32,0,0,0.999808,0.72351,0.003066,0.0,0.0
repeated_negations/colorless_dreaming/annotated_docs.jsonl,10481,text=10481,1862.1,129,1774,1774,2424,2673,3246,5692,10463,10443,2692,173,4,0.998283,0.996374,0.256846,0.016506,0.000382
repeated_negations/dentist/annotated_docs.jsonl,10482,text=10482,1532.7,759,1484,1484,1939,2116,2488,3453,10482,10312,696,7,0,1.0,0.983782,0.0664,0.000668,0.0
repeated_negations/ed_sheeran/annotated_docs.jsonl,10474,text=10474,1760.5,282,1690,1690,2255,2461,2940,8196,10471,10435,1989,67,5,0.999714,0.996276,0.189899,0.006397,0.000477
repeated_negations/mount_vesuvius/annotated_docs.jsonl,10470,text=10470,1870.0,762,1747,1747,2617,2895,3501,6565,10470,10413,3216,349,11,1.0,0.994556,0.307163,0.033333,0.001051
repeated_negations/queen_elizabeth/annotated_docs.jsonl,10418,text=10418,1648.8,259,1592,1592,2077,2263,2734,4004,10414,10338,1153,32,0,0.999616,0.992321,0.110674,0.003072,0.0
repeated_negations/x_rebrand_reversal/annotated_docs.jsonl,10434,text=10434,1675.4,692,1634,1634,2087,2268,2703,4242,10434,10366,1228,27,1,1.0,0.993483,0.117692,0.002588,9.6e-05
local_negations/dentist/annotated_docs.jsonl,10493,text=10493,796.1,41,777,777,1003,1101,1415,2957,10032,888,19,0,0,0.956066,0.084628,0.001811,0.0,0.0
local_negations/ed_sheeran/annotated_docs.jsonl,10473,text=10473,808.0,10,790,790,1008,1103,1397,5277,10083,935,21,6,2,0.962761,0.089277,0.002005,0.000573,0.000191
corrected_documents/colorless_dreaming/annotated_docs.jsonl,10484,text=10484,3347.1,129,3186,3186,4503,5011,6224,9884,10472,10465,10259,5900,1751,0.998855,0.998188,0.978539,0.562762,0.167016
corrected_documents/dentist/annotated_docs.jsonl,10486,text=10486,2392.6,821,2310,2310,3305,3689,4477,7594,10486,10467,6928,1634,229,1.0,0.998188,0.66069,0.155827,0.021839
